iter	MultiClass
0	6.089783693
1	6.057377938
2	6.026308096
3	5.996334155
4	5.966952264
5	5.938117387
6	5.910119861
7	5.882840689
8	5.854933119
9	5.828038968
10	5.801619734
11	5.776061295
12	5.751615997
13	5.726860561
14	5.703108756
15	5.681617093
16	5.657483631
17	5.636672103
18	5.616310687
19	5.592697736
20	5.571405377
21	5.551282975
22	5.532564421
23	5.510454842
24	5.488552122
25	5.471265267
26	5.448331876
27	5.429067682
28	5.411023362
29	5.394156303
30	5.375222539
31	5.354219263
32	5.335179258
33	5.3157604
34	5.300812775
35	5.280203615
36	5.264894223
37	5.247007688
38	5.228537128
39	5.210062578
40	5.189269079
41	5.174498793
42	5.154975514
43	5.133313318
44	5.116732315
45	5.099534698
46	5.081073961
47	5.064564232
48	5.04776258
49	5.035352862
50	5.018527252
51	5.003928481
52	4.984870209
53	4.966781268
54	4.950270186
55	4.932573378
56	4.915966611
57	4.898182929
58	4.885030239
59	4.870178297
60	4.854252624
61	4.838635091
62	4.820633896
63	4.804604099
64	4.79021586
65	4.775403214
66	4.76008686
67	4.7438603
68	4.727861431
69	4.714673553
70	4.697102724
71	4.683317802
72	4.67282824
73	4.657298718
74	4.64541819
75	4.627430609
76	4.611802483
77	4.593575628
78	4.578945548
79	4.565338274
80	4.550485565
81	4.534747464
82	4.522528886
83	4.512096659
84	4.50520072
85	4.491675797
86	4.476453355
87	4.458933414
88	4.444423686
89	4.431704356
90	4.416953879
91	4.40116479
92	4.389853913
93	4.376921522
94	4.362533299
95	4.34774198
96	4.329712946
97	4.315587282
98	4.302666893
99	4.289492831
100	4.276950914
101	4.262990135
102	4.252944183
103	4.24305816
104	4.229145097
105	4.217123856
106	4.197749715
107	4.183603191
108	4.171835983
109	4.156307423
110	4.145141432
111	4.1306636
112	4.116816902
113	4.103279651
114	4.088160039
115	4.081307694
116	4.074083361
117	4.060969217
118	4.052575994
119	4.044655726
120	4.03234151
121	4.02090443
122	4.00954142
123	4.000552242
124	3.990780866
125	3.979316158
126	3.969999896
127	3.956997181
128	3.946158097
129	3.936006995
130	3.924023311
131	3.913306065
132	3.903455278
133	3.892713771
134	3.881051751
135	3.872247141
136	3.860996878
137	3.852612863
138	3.846583715
139	3.840551696
140	3.833560325
141	3.824403813
142	3.813330951
143	3.80615553
144	3.798151822
145	3.78691965
146	3.779180225
147	3.76674539
148	3.757078382
149	3.748704501
150	3.742381349
151	3.729819785
152	3.718436849
153	3.710804249
154	3.699545254
155	3.686283786
156	3.678257003
157	3.669911074
158	3.659715729
159	3.65346991
160	3.645691775
161	3.636276462
162	3.629460446
163	3.621065142
164	3.611562463
165	3.602111706
166	3.593650743
167	3.587909446
168	3.57856864
169	3.566510597
170	3.558655104
171	3.545846647
172	3.536766069
173	3.526778566
174	3.520331291
175	3.511000171
176	3.501332647
177	3.494777916
178	3.4870282
179	3.478507544
180	3.470689824
181	3.463248799
182	3.4551149
183	3.443887928
184	3.434316969
185	3.427258411
186	3.418989204
187	3.41299375
188	3.40534519
189	3.395561027
190	3.385749753
191	3.377734687
192	3.36840381
193	3.362929323
194	3.350640194
195	3.343548756
196	3.335845155
197	3.325391538
198	3.321954308
199	3.312793298
200	3.300489727
201	3.293105231
202	3.286603965
203	3.279383308
204	3.272382581
205	3.26384565
206	3.256693735
207	3.250947506
208	3.244594701
209	3.234106601
210	3.223793109
211	3.213625672
212	3.209959664
213	3.199748684
214	3.19220783
215	3.18627459
216	3.174510799
217	3.1657437
218	3.158666879
219	3.151497807
220	3.143906984
221	3.137712156
222	3.130608295
223	3.121978539
224	3.112485099
225	3.102312844
226	3.093513065
227	3.087109493
228	3.079406636
229	3.071855351
230	3.064004058
231	3.056913444
232	3.05347202
233	3.04544674
234	3.034600874
235	3.022205528
236	3.015805312
237	3.006775717
238	2.997963437
239	2.990241031
240	2.982838394
241	2.973827864
242	2.967138082
243	2.962841397
244	2.957189781
245	2.948626614
246	2.940026601
247	2.935154048
248	2.927546917
249	2.919205536
250	2.91369804
251	2.908099943
252	2.89973868
253	2.892399791
254	2.883993554
255	2.877378355
256	2.871917128
257	2.863157355
258	2.857503487
259	2.849627669
260	2.843108071
261	2.833726065
262	2.826213163
263	2.818681
264	2.80976835
265	2.802904891
266	2.795851763
267	2.790569716
268	2.784622568
269	2.778025447
270	2.772481469
271	2.765807127
272	2.756368818
273	2.747504131
274	2.738966927
275	2.731218581
276	2.722291688
277	2.71307116
278	2.704905286
279	2.698255952
280	2.688612055
281	2.682171444
282	2.676353085
283	2.666970597
284	2.659422523
285	2.654201635
286	2.646541261
287	2.64012002
288	2.631964544
289	2.623199578
290	2.617448497
291	2.61192744
292	2.604728456
293	2.596611275
294	2.589658653
295	2.582861493
296	2.573961619
297	2.566092012
298	2.559306052
299	2.553968894
300	2.549770828
301	2.542758789
302	2.533457935
303	2.530760143
304	2.523204903
305	2.516173166
306	2.511093699
307	2.504969869
308	2.497700959
309	2.490921421
310	2.480607405
311	2.473279326
312	2.467577722
313	2.461538792
