iter	Passed	Remaining
0	11297	11285864
1	18970	9466076
2	26486	8802491
3	33770	8408743
4	41138	8186639
5	48486	8032660
6	56186	7970486
7	63324	7852245
8	71228	7843008
9	79061	7827108
10	86181	7748525
11	93187	7672417
12	100605	7638249
13	107786	7591247
14	114723	7533525
15	121445	7468885
16	128704	7442172
17	135331	7383069
18	141658	7314054
19	149055	7303712
20	155713	7259225
21	162478	7222889
22	169124	7184107
23	175864	7151836
24	183030	7138200
25	189620	7103476
26	196727	7089458
27	203250	7055688
28	209999	7031375
29	216611	7003763
30	223203	6976898
31	229810	6951782
32	236833	6939948
33	243238	6910844
34	249706	6884770
35	258253	6915443
36	264687	6889040
37	271190	6865403
38	278820	6870420
39	285215	6845163
40	291431	6816649
41	297575	6787553
42	306325	6817526
43	313395	6809240
44	318743	6764437
45	324496	6729775
46	330753	6706547
47	336203	6668044
48	341002	6618238
49	346514	6583772
50	351902	6548155
51	358565	6536921
52	364187	6507267
53	369946	6480915
54	376283	6465230
55	383130	6458486
56	389836	6449392
57	396984	6447583
58	403783	6440005
59	410514	6431400
60	417464	6426210
61	424065	6415706
62	430986	6410065
63	437631	6400365
64	443980	6386491
65	450413	6374036
66	456870	6362093
67	463424	6351636
68	470334	6346110
69	476756	6334056
70	483169	6322039
71	489812	6313136
72	496061	6299300
73	503142	6296082
74	509742	6286828
75	516973	6285309
76	524055	6281861
77	531001	6276710
78	537587	6267317
79	543977	6255738
80	551060	6252149
81	558010	6246991
82	564539	6237136
83	571567	6232806
84	577428	6215851
85	584104	6207804
86	590773	6199725
87	598003	6197486
88	604583	6188491
89	611364	6181579
90	618966	6182867
91	624576	6164298
92	630120	6145364
93	635763	6127675
94	641362	6109826
95	647297	6095387
96	653312	6081865
97	659537	6070435
98	665059	6052712
99	671531	6043784
100	677195	6027713
101	683864	6020686
102	689136	6001505
103	694614	5984367
104	701543	5979823
105	707174	5964281
106	713065	5951101
107	720596	5951595
108	726105	5935414
109	731998	5922531
110	737587	5907342
111	745223	5908556
112	750920	5894393
113	756760	5881486
114	762511	5868026
115	768064	5853178
116	775756	5854641
117	781587	5842037
118	787117	5827318
119	792402	5810954
120	797917	5796441
121	803492	5782508
122	809187	5769573
123	814612	5754846
124	820403	5742825
125	826034	5729794
126	831640	5716708
127	837555	5705844
128	843318	5694036
129	849121	5682584
130	854870	5670858
131	860215	5656570
132	865702	5643337
133	871270	5630751
134	876485	5615999
135	881954	5603003
136	887333	5589555
137	892728	5576317
138	898264	5564067
139	903480	5549954
140	909016	5537911
141	914181	5523718
142	919568	5510980
143	924891	5497964
144	930360	5485920
145	935726	5473356
146	940835	5459408
147	946502	5448786
148	951538	5434624
149	956202	5418481
150	960751	5401841
151	965066	5384056
152	969550	5367383
153	973999	5350672
154	978418	5333957
155	982913	5317812
156	987295	5301212
157	991659	5284665
158	995844	5267330
159	1000112	5250589
160	1004589	5235098
161	1009118	5220009
162	1013392	5203738
163	1017805	5188324
164	1022030	5172091
165	1026579	5157636
166	1030648	5140896
167	1034683	5124144
168	1039148	5109657
169	1043880	5096592
170	1048310	5082158
171	1053083	5069496
172	1057686	5056107
173	1062019	5041538
174	1066421	5027414
175	1070963	5014058
176	1075637	5001411
177	1079860	4986772
178	1084071	4972192
179	1088605	4959204
180	1093019	4945764
181	1097421	4932366
182	1101748	4918736
183	1106359	4906465
184	1110841	4893708
185	1115331	4881073
186	1119846	4868639
187	1124060	4854984
188	1128483	4842328
189	1133049	4830370
190	1137638	4818584
191	1141919	4805578
192	1146279	4792992
193	1150511	4779958
194	1155204	4768922
195	1159651	4756937
196	1164180	4745365
197	1168615	4733483
198	1172819	4720746
199	1177254	4709016
200	1181790	4697764
201	1186204	4686094
202	1190767	4675081
203	1195177	4663533
204	1199532	4651846
205	1204213	4641483
206	1208777	4630727
207	1213142	4619274
208	1217617	4608305
209	1222094	4597401
210	1226643	4586834
211	1231176	4576260
212	1235233	4563983
213	1239897	4554015
214	1244230	4542888
215	1248614	4532006
216	1253309	4522312
217	1257740	4511710
218	1262218	4501337
219	1266560	4490534
220	1271121	4480558
221	1275609	4470379
222	1280165	4460488
223	1284573	4450130
224	1289039	4440025
225	1293583	4430235
226	1298110	4420438
227	1302445	4410034
228	1307077	4400685
229	1311504	4390688
230	1316039	4381099
231	1320578	4371569
232	1324815	4361089
233	1329436	4351914
234	1335592	4347779
235	1340228	4338706
236	1344481	4328437
237	1348952	4318915
238	1353538	4309803
239	1359797	4306025
240	1364089	4296031
241	1368453	4286314
242	1373352	4278305
243	1404796	4352565
244	1432726	4415136
245	1450826	4446842
246	1468908	4478089
247	1487118	4509327
248	1505036	4539287
249	1522176	4566529
250	1540086	4595714
251	1560254	4631230
252	1579486	4663544
253	1596458	4688810
254	1615332	4719304
255	1633514	4747400
256	1652744	4778168
257	1670701	4804886
258	1688923	4832017
259	1704925	4852478
260	1723871	4880998
261	1742896	4909379
262	1762198	4938176
263	1780325	4963331
264	1797542	4985636
265	1815316	5009181
266	1833570	5033735
267	1851594	5057340
268	1870510	5083059
269	1889671	5109112
270	1908877	5134949
271	1926786	5156987
272	1946079	5182417
273	1965160	5206957
274	1983261	5228597
275	2002158	5252040
276	2020438	5273564
277	2039483	5296787
278	2057608	5317333
279	2075425	5336809
280	2095648	5362176
281	2113738	5381787
282	2130883	5398740
283	2148848	5417518
284	2166806	5436023
285	2194639	5478925
286	2215944	5505115
287	2235891	5527619
288	2255612	5549274
289	2273629	5566473
290	2289872	5579106
291	2307886	5595833
292	2428413	5859686
293	2466245	5922343
294	2597444	6207450
295	2619376	6229869
296	2633989	6234662
297	2653589	6251072
298	2673092	6267017
299	2687697	6271294
300	2708132	6288985
301	2727257	6303397
302	2746945	6318881
303	2765193	6330838
304	2783277	6342223
305	2802675	6356394
306	2821350	6368717
307	2839593	6379866
308	2858847	6393087
309	2877527	6404818
310	2896602	6417231
311	2913715	6425115
312	2932730	6437016
313	2950971	6447026
